date, pm25, o3, no2, co
2015/7/22, 57, , , 
2015/7/23, 17, , , 
2015/7/24, 22, , , 
2015/7/25, 32, , , 
2015/7/26, 49, , , 
2015/7/27, 45, , , 
2015/7/28, 44, , , 
2015/7/29, 59, , , 
2015/7/30, 70, , , 
2015/7/31, 58, , , 
2015/8/1, 33, , , 
2015/8/2, 39, , , 
2015/8/3, 32, , , 
2015/8/4, 54, , , 
2015/8/5, 47, , , 
2015/8/6, 43, , , 
2015/8/7, 22, , , 
2015/8/8, 24, , , 
2015/8/9, 21, , , 
2015/8/10, 26, , , 
2015/8/11, 19, , , 
2015/8/12, 31, , , 
2015/8/13, 37, , , 
2015/8/14, 17, , , 
2015/8/15, 43, , , 
2015/8/16, 59, , , 
2015/8/17, 63, , , 
2015/8/18, 65, , , 
2015/8/19, 53, , , 
2015/8/20, 25, , , 
2015/8/21, 17, , , 
2015/8/22, 31, , , 
2015/8/23, 21, , , 
2015/8/24, 29, , , 
2015/8/25, 39, , , 
2015/8/26, 53, , , 
2015/8/27, 31, , , 
2015/8/28, 26, , , 
2015/8/29, 23, , , 
2015/8/30, 46, , , 
2015/8/31, 55, , , 
2015/9/1, 68, , , 
2015/9/2, 72, , , 
2015/9/3, 83, , , 
2015/9/4, 94, , , 
2015/9/5, 67, , , 
2015/9/6, 20, , , 
2015/9/7, 25, , , 
2015/9/8, 43, , , 
2015/9/9, 56, , , 
2015/9/10, 35, , , 
2015/9/11, 29, , , 
2015/9/12, 24, , , 
2015/9/13, 33, , , 
2015/9/14, 19, , , 
2015/9/15, 22, , , 
2015/9/16, 43, , , 
2015/9/17, 58, , , 
2015/9/18, 59, , , 
2015/9/19, 65, , , 
2015/9/20, 42, , , 
2015/9/21, 14, , , 
2015/9/22, 14, , , 
2015/9/23, 24, , , 
2015/9/24, 29, , , 
2015/9/25, 39, , , 
2015/9/26, 28, , , 
2015/9/27, 23, , , 
2015/9/28, 21, , , 
2015/9/29, 35, , , 
2015/9/30, 37, , , 
2015/10/1, 15, , , 
2015/4/2, 36, , , 
2015/4/3, 55, , , 
2015/4/4, 58, , , 
2015/4/5, 35, , , 
2015/4/6, 40, , , 
2015/4/7, 54, , , 
2015/4/8, 53, , , 
2015/4/9, 26, , , 
2015/4/10, 17, , , 
2015/4/11, 43, , , 
2015/4/12, 33, , , 
2015/4/13, 38, , , 
2015/4/14, 48, , , 
2015/4/15, 40, , , 
2015/4/16, 30, , , 
2015/4/17, 28, , , 
2015/4/18, 48, , , 
2015/4/19, 49, , , 
2015/4/20, 22, , , 
2015/4/21, 26, , , 
2015/4/22, 34, , , 
2015/4/23, 44, , , 
2015/4/24, 21, , , 
2015/4/25, 21, , , 
2015/4/26, 24, , , 
2015/4/27, 21, , , 
2015/4/28, 21, , , 
2015/4/29, 24, , , 
2015/4/30, 28, , , 
2015/5/1, 19, , , 
2015/5/2, 23, , , 
2015/5/3, 36, , , 
2015/5/4, 43, , , 
