date, pm25, pm10, no2, co
2017/8/18, 34, 24, 25, 
2017/8/19, 57, 15, 14, 
2017/8/20, 38, 9, 17, 
2017/8/21, 17, 13, 25, 
2017/8/22, 21, 17, 23, 
2017/8/23, 38, 22, 22, 
2017/8/24, 50, 26, 26, 
2017/8/26, 57, 31, 35, 
2017/8/27, 34, 29, 22, 
2017/8/28, 63, 32, 36, 
2017/8/29, 65, 23, 28, 
2017/8/30, 46, 27, 37, 
2017/8/31, 57, 25, 25, 
2017/9/1, 55, 20, 27, 
2017/9/2, 50, 9, 24, 
2017/9/3, 13, 11, 43, 
2017/9/4, 30, 11, 43, 
2017/9/5, 30, , , 
2017/4/2, 71, 34, 25, 
2017/4/3, 88, 31, 43, 
2017/4/4, 70, 31, 43, 
2017/4/5, 73, 20, 32, 
2017/4/6, 59, 25, 39, 
2017/4/7, 60, 38, 33, 
2017/4/8, 81, 40, 44, 
2017/4/9, 90, 43, 38, 
2017/4/10, 91, 32, 36, 
2017/4/11, 80, 32, 29, 
2017/4/12, 74, 32, 28, 
2017/4/13, 70, 31, 24, 
2017/4/14, 61, 28, 33, 
2017/4/15, 62, 27, 18, 
2017/4/16, 63, 19, 17, 
2017/4/17, 46, 14, 23, 
2017/4/18, 49, 25, 27, 
2017/4/19, 52, 26, 33, 
2017/4/20, 53, 15, 34, 
2017/4/21, 30, 25, 37, 
2017/4/22, 59, 29, 39, 
2017/4/23, 62, 25, 16, 
2017/4/24, 50, 31, 20, 
2017/4/25, 58, 35, 21, 
2017/4/26, 73, 18, 33, 
2017/4/27, 53, 19, 39, 
2017/4/28, 56, 13, 29, 
2017/4/29, 38, 21, 33, 
2017/4/30, 60, 20, 23, 
2017/5/1, 57, 20, 20, 
2017/5/2, 58, 12, 34, 
2017/5/3, 46, 12, 38, 
2017/5/4, 38, 16, 31, 
2017/5/5, 45, 23, 53, 
2017/5/6, 67, 35, 42, 
2017/5/7, 71, 20, 34, 
2017/5/8, 61, 16, 36, 
2017/5/9, 31, 14, 37, 
2017/5/10, 30, 23, 25, 
2017/5/11, 53, 26, 43, 
2017/5/12, 60, 25, 29, 
2017/5/13, 55, 16, 20, 
2017/5/14, 46, 18, 17, 
2017/5/15, 54, 15, 26, 
2017/5/16, 18, 15, 32, 
2017/5/17, 33, 23, 39, 
2017/5/18, 52, 22, 35, 
2017/5/19, 46, 29, 30, 
2017/5/20, 58, 12, 23, 
2017/5/21, 26, 14, 35, 
2017/5/22, 29, 18, 39, 
2017/5/23, 49, 19, 27, 
2017/5/24, 30, 22, 40, 
2017/5/25, 52, 31, 22, 
2017/5/26, 60, 19, 28, 
2017/5/27, 26, 26, 34, 
2017/5/28, 48, 23, 26, 
2017/5/29, 52, 26, 35, 
2017/5/30, 50, 21, 26, 
2017/5/31, 42, 18, 30, 
2017/6/1, 34, 19, 21, 
2017/6/2, 37, 16, 11, 
2017/6/3, 30, 18, 14, 
2017/6/4, 52, 19, 12, 
2017/6/5, 46, 19, 29, 
2017/6/6, 42, 21, 29, 
2017/6/7, 49, 10, 29, 
2017/6/8, 14, 10, 22, 
2017/6/9, 33, , 32, 
2017/6/10, 34, 39, 32, 
2017/6/11, 74, 34, 23, 
2017/6/12, 77, 30, 29, 
2017/6/13, 63, 28, 33, 
2017/6/14, 55, 31, 36, 
2017/6/15, 55, 34, 30, 
2017/6/16, 73, 23, 28, 
2017/6/17, 55, 23, 25, 
2017/6/18, 46, 16, 18, 
2017/6/19, 22, 17, 34, 
2017/6/20, 29, 24, 35, 
2017/6/21, 49, 22, 26, 
2017/6/22, 26, 22, 31, 
2017/6/23, 25, 26, 18, 
2017/6/24, 57, 27, 18, 
2017/6/25, 73, 23, 17, 
2017/6/26, 35, 20, 26, 
2017/6/27, 13, 16, 33, 
2017/6/28, 33, 18, 30, 
2017/6/29, 45, 17, 33, 
2017/6/30, 34, 13, 32, 
2017/7/1, 17, 13, 23, 
2017/1/3, 151, 59, 45, 
2017/1/4, 152, 64, 42, 
2017/1/5, 109, 12, 28, 
2017/1/6, 17, 12, 37, 
2017/1/7, 42, 36, 40, 
2017/1/8, 82, 37, 34, 
2017/1/9, 59, 64, 43, 
2017/1/10, 154, 55, 37, 
2017/1/11, 124, 47, 40, 
2017/1/12, 93, 55, 32, 
2017/1/13, 139, 31, 39, 
2017/1/14, 87, 19, 42, 
2017/1/15, 30, 33, 41, 
2017/1/16, 78, 28, 59, 
2017/1/17, 61, 32, 52, 
2017/1/18, 63, 47, 55, 
2017/1/19, 97, 50, 60, 
2017/1/20, 109, 61, 77, 
2017/1/21, 149, 67, 58, 
2017/1/22, 159, 49, 54, 
2017/1/23, 139, 54, 69, 
2017/1/24, 117, 61, 73, 
2017/1/25, 144, 51, 58, 
2017/1/26, 107, 54, 52, 
2017/1/27, 132, 57, 48, 
2017/1/28, 139, 75, 43, 
2017/1/29, 164, 96, 56, 
2017/1/30, 184, 105, 44, 
2017/1/31, 209, 102, 40, 
2017/2/1, 162, 98, 55, 
2017/2/2, 191, 80, 50, 
2017/2/3, 166, 51, 37, 
2017/2/4, 117, 36, 35, 
2017/2/5, 91, 32, 33, 
2017/2/6, 87, 37, 50, 
2017/2/7, 99, 40, 46, 
2017/2/8, 89, 37, 35, 
2017/2/9, 82, 36, 35, 
2017/2/10, 70, 38, 37, 
